source_file,rows_before,rows_after,duplicates_removed,clean_file
big_startup_secsees_dataset.csv,66368,66368,0,big_startups_clean.csv
Startup Failures.csv,815,814,1,startup_failures_master_clean.csv
Startup Failure (Finance and Insurance).csv,47,47,0,Startup Failure (Finance and Insurance)_clean.csv
Startup Failure (Food and services).csv,26,26,0,Startup Failure (Food and services)_clean.csv
Startup Failure (Health Care).csv,60,60,0,Startup Failure (Health Care)_clean.csv
Startup Failure (Manufactures).csv,30,30,0,Startup Failure (Manufactures)_clean.csv
Startup Failure (Retail Trade).csv,90,90,0,Startup Failure (Retail Trade)_clean.csv
Startup Failures (Information Sector).csv,156,156,0,Startup Failures (Information Sector)_clean.csv
synthetic_startup_metrics.csv,200,200,0,synthetic_startup_metrics_clean.csv
