funding_quartile,operating,closed,acquired,ipo,Observed exit,Companies
Bottom quarter,82.87828527685635,9.670834396529727,5.9964276601173765,1.4544526664965551,7.450880326613932,3919
Lower-middle quarter,76.33224918689017,8.131098323742806,13.435076307230423,2.1015761821366024,15.536652489367025,3997
Upper-middle quarter,71.47200405371169,6.967316949581962,18.596402330884214,2.964276665822143,21.560678996706358,3947
Top quarter,69.83810709838107,4.159402241594022,17.534246575342465,8.468244084682441,26.002490660024904,4015
